Feature,Mean,Std,Skewness,Kurtosis,Highly_Skewed
CallForwardingCalls,0.012276921268634788,0.5941683328703552,91.63479060379878,10063.86220074945,Yes
UniqueSubs,1.5321566399592532,1.2233842333455027,79.63575751028665,12510.38777224218,Yes
RoamingCalls,1.2362441296103437,9.81829380565356,57.88177288408806,5150.06247984359,Yes
ReferralsMadeBySubscriber,0.05206966129253433,0.3075917416796378,36.73972546213377,3495.300134752162,Yes
AdjustmentsToCreditRating,0.05391110153388054,0.3831470247936312,18.623148994227464,704.3679834245684,Yes
ThreewayCalls,0.29883832546476774,1.1682765678328164,17.553060420758722,604.1937380572567,Yes
CustomerCareCalls,1.8689991576390383,5.096137719886602,14.235913282086754,577.653061304045,Yes
DirectorAssistedCalls,0.8952290188834963,2.228546017308867,13.567881743875038,599.2539273143843,Yes
CallWaitingCalls,1.8405038493936963,5.585128828706138,11.121429116533438,218.8055152530023,Yes
ActiveSubs,1.3543401179305345,0.6754767028851466,10.647697161351752,675.3887992948682,Yes
BlockedCalls,4.085672027739142,10.94690460625429,9.790454235336323,168.29220674462744,Yes
RetentionOffersAccepted,0.018277273884851217,0.14245837105330436,8.699967955795362,90.4783737920551,Yes
OverageMinutes,40.02778487355328,96.58807592111577,8.113911495813293,158.01494038017208,Yes
PercChangeRevenues,-1.1919850039463298,39.5749152605706,7.885301744087608,453.4416833100452,Yes
RetentionCalls,0.03720101083315376,0.20648287505567078,6.296662862797115,48.04395480837999,Yes
InboundCalls,8.1781044919388,16.66587781416943,5.927979847610957,69.87858074127791,Yes
DroppedBlockedCalls,10.158003408623426,15.555283795839735,5.522107850175788,60.20183724733183,Yes
DroppedCalls,6.011489411718612,9.043955458892793,4.549222356123204,41.732493482749,Yes
UnansweredCalls,28.28898074323663,38.87619422834866,4.3812301416344415,40.95446418568045,Yes
MonthlyRevenue,58.83449234638738,44.507335653607704,4.181761163376388,41.00295514705845,Yes
OutboundCalls,25.37771465512175,35.20914665694112,3.525678994138235,22.467511183819923,Yes
OffPeakCallsInOut,67.6507904480185,92.75269863869471,3.493145693429568,22.116204819462887,Yes
PeakCallsInOut,90.5495151527024,104.94747037789895,3.3278535411771095,22.37790545452652,Yes
Handsets,1.8056458880225679,1.3311727978849386,3.288683715890144,20.511023594105023,Yes
ReceivedCalls,114.80012145669677,166.48589648609544,3.115673227437312,16.209990476829667,Yes
HandsetModels,1.5587509305332445,0.905932234239516,2.4052479250021137,9.629303011284513,Yes
MonthlyMinutes,525.6534161246586,529.8710628347103,2.1939673694385715,8.109127154529652,Yes
TotalRecurringCharge,46.830087834784145,23.84887070093902,1.629344203346068,8.91318029607198,Yes
CurrentEquipmentDays,380.5458410061513,253.8019822985445,1.0861057768169382,1.5971835520288167,Yes
MonthsInService,18.756263835289047,9.800137524690847,1.0569365702662337,0.899184145637415,Yes
AgeHH2,21.144142167617375,23.931367685667123,0.5490900792395619,-1.1005763093985406,No
PercChangeMinutes,-11.547908445146014,257.5147723188633,-0.3242553352466099,20.834151935561735,No
AgeHH1,31.338126770114485,22.09463511779763,-0.24505969139532924,-1.0586420046620446,No
IncomeGroup,4.324524457852568,3.138236346129134,-0.17575568021889343,-1.3242228115591577,No
