Column,Unique_Values,Churn_Rate_Std,Min_Churn_Rate,Max_Churn_Rate,Churn_Variance
ServiceArea,747,20.367369992046083,0.0,100.0,100.0
HandsetPrice,16,7.409630427415691,12.5,45.0,32.5
MadeCallToRetentionTeam,2,11.87846736671201,28.244290292483065,45.042979942693414,16.79868965021035
HandsetWebCapable,2,6.6898353982535035,27.891673543847457,37.35252949410118,9.46085595025372
CreditRating,7,3.189078331308561,22.095707031851052,31.010701545778836,8.914994513927784
Occupation,8,2.1891630538113698,25.2387448840382,32.48407643312102,7.245331549082817
HandsetRefurbished,2,2.7732818513867388,28.27372827372827,32.19574108024256,3.9220128065142923
PrizmCode,4,1.601184808435078,28.14140920747344,31.711340206185568,3.5699309987121275
MaritalStatus,3,1.5435962121647524,27.10302457466919,30.18781725888325,3.0847926842140616
OwnsMotorcycle,2,2.039320129994681,28.780177890724268,31.66421207658321,2.8840341858589404
RespondsToMailOffers,2,1.514251078737165,27.483615936752315,29.625090349140503,2.141474412388188
BuysViaMailOrder,2,1.448251949539083,27.51070402688201,29.558841575653457,2.0481375487714466
Homeownership,2,0.8936924454736904,28.39615146967958,29.66002344665885,1.2638719769792708
ChildrenInHH,2,0.7147200378740183,28.573644613356088,29.584411384217336,1.0107667708612489
NewCellphoneUser,2,0.6251033807672022,28.10464169381108,28.98867137277733,0.8840296789662503
NotNewCellphoneUser,2,0.6250463402656181,28.69671907661547,29.580668088130775,0.8839490115153055
HasCreditCard,2,0.5897349772789643,28.54824218183926,29.38225338491296,0.8340112030737004
NonUSTravel,2,0.40828226732563905,28.273706147968042,28.8511044676964,0.5773983197283563
RVOwner,2,0.40467694749781014,28.292800385263668,28.865100012794816,0.572299627531148
TruckOwner,2,0.39606579277312537,28.36291084742203,28.923032463153834,0.5601216157318056
OwnsComputer,2,0.16864218120726537,28.624260355029584,28.86275641488108,0.2384960598514958
OptOutMailings,2,0.02715928207167486,28.817973953673327,28.856382978723406,0.03840902505007904
